,applicant_id,Primary_applicant_age_in_years,Years_at_current_residence,Months_loan_taken_for,Principal_loan_amount,Marital_status,Savings_account_balance,Purpose,Property,Loan_history,gen_house,high_risk_applicant
44,1246402,58,4,48,6143000,divorced/separated/married,Low,used vehicle,car or other,critical/pending loans at other banks,female & for free,1
45,1641291,35,4,11,1393000,divorced/separated/married,Low,new vehicle,car or other,critical/pending loans at other banks,female & own,0
46,1716706,39,4,36,2299000,single,High,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
47,1395153,23,2,6,1352000,divorced/separated/married,High,used vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,0
48,1697859,39,4,11,7228000,single,Low,new vehicle,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
49,1193227,28,2,12,2073000,divorced/separated/married,Medium,electronic equipment,real estate,existing loans paid back duly till now,female & own,0
50,1850736,29,2,24,2333000,single,Low,FF&E,building society savings agreement/life insurance,delay in paying off loans in the past,male & own,0
51,1771270,30,2,27,5965000,single,Low,used vehicle,car or other,delay in paying off loans in the past,male & own,0
52,1840431,25,2,12,1262000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
53,1502325,31,1,18,3378000,single,Low,used vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
54,1151072,57,4,36,2225000,single,Low,new vehicle,car or other,delay in paying off loans in the past,male & for free,1
55,1875288,26,2,6,783000,single,Low,new vehicle,real estate,all loans at this bank paid back duly,male & own,0
56,1361963,52,1,12,6468000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,1
57,1599723,31,2,36,9566000,divorced/separated/married,Low,electronic equipment,car or other,critical/pending loans at other banks,female & own,0
58,1438784,23,2,18,1961000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & own,0
59,1274604,23,4,36,6229000,divorced/separated/married,Low,FF&E,car or other,critical/pending loans at other banks,female & rent,1
60,1548860,27,1,9,1391000,married/widowed,Low,business,real estate,existing loans paid back duly till now,male & own,0
61,1570047,50,4,15,1537000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
62,1825757,61,4,36,1953000,single,Low,business,car or other,no loans taken/all loans paid back duly,male & for free,1
63,1304525,25,2,48,14421000,single,Low,business,car or other,no loans taken/all loans paid back duly,male & own,1
64,1750074,26,4,24,3181000,divorced/separated/married,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,0
65,1134752,48,4,27,5190000,single,Low,repair costs,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
66,1505713,29,2,12,2171000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,0
67,1724003,22,1,12,1007000,married/widowed,Very high,new vehicle,real estate,existing loans paid back duly till now,male & own,0
68,1388519,37,4,36,1819000,single,Low,education,car or other,existing loans paid back duly till now,male & for free,1
69,1724882,25,4,36,2394000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,0
70,1463336,30,2,36,8133000,divorced/separated/married,Low,used vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,0
71,1804919,46,2,7,730000,single,Low,electronic equipment,building society savings agreement/life insurance,critical/pending loans at other banks,male & rent,0
72,1591747,51,4,8,1164000,single,Low,career development,car or other,critical/pending loans at other banks,male & for free,0
73,1743709,41,1,42,5954000,divorced/separated/married,Low,business,real estate,critical/pending loans at other banks,female & own,0
74,1472593,40,4,36,1977000,single,Low,education,car or other,existing loans paid back duly till now,male & own,1
75,1641977,66,4,12,1526000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & for free,0
76,1649753,34,3,42,3965000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,1
77,1149571,51,4,11,4771000,single,Low,electronic equipment,building society savings agreement/life insurance,delay in paying off loans in the past,male & own,0
78,1691240,39,2,54,9436000,single,Low,used vehicle,building society savings agreement/life insurance,no loans taken/all loans paid back duly,male & own,0
79,1838961,22,1,30,3832000,married/widowed,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
80,1403464,44,1,24,5943000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,1
81,1646022,47,3,15,1213000,single,High,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
82,1106801,24,4,18,1568000,divorced/separated/married,Medium,business,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,0
83,1616296,58,4,24,1755000,divorced/separated/married,Low,domestic appliances,real estate,existing loans paid back duly till now,female & own,0
84,1238277,52,4,10,2315000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
85,1175457,29,2,12,1412000,divorced/separated/married,Low,business,real estate,critical/pending loans at other banks,female & own,0
86,1576577,27,1,18,1295000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,critical/pending loans at other banks,female & own,0
87,1586725,47,4,36,12612000,single,Medium,education,car or other,existing loans paid back duly till now,male & for free,1
88,1660853,30,3,18,2249000,single,Medium,new vehicle,car or other,existing loans paid back duly till now,male & own,0
89,1132472,28,3,12,1108000,single,Low,repair costs,real estate,no loans taken/all loans paid back duly,male & own,1
90,1368120,56,4,12,618000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
91,1403185,54,3,12,1409000,single,Low,used vehicle,real estate,critical/pending loans at other banks,male & own,0
92,1601892,33,3,12,797000,divorced/separated/married,Low,electronic equipment,building society savings agreement/life insurance,critical/pending loans at other banks,female & own,1
93,1220273,20,4,24,3617000,single,Low,FF&E,car or other,critical/pending loans at other banks,male & rent,0
94,1713632,54,4,12,1318000,single,Very high,new vehicle,real estate,existing loans paid back duly till now,male & own,0
95,1416025,58,4,54,15945000,single,Low,business,car or other,no loans taken/all loans paid back duly,male & rent,1
96,1610826,61,2,12,2012000,divorced/separated/married,Low,education,car or other,critical/pending loans at other banks,female & own,0
97,1887006,34,4,18,2622000,single,Medium,business,car or other,existing loans paid back duly till now,male & own,0
98,1570732,36,4,36,2337000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
99,1617889,36,4,20,7057000,single,Low,used vehicle,building society savings agreement/life insurance,delay in paying off loans in the past,male & rent,0
100,1318902,41,4,24,1469000,married/widowed,Medium,new vehicle,real estate,existing loans paid back duly till now,male & rent,0
101,1466716,24,4,36,2323000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & rent,0
102,1621669,24,2,6,932000,divorced/separated/married,Low,electronic equipment,real estate,delay in paying off loans in the past,female & own,0
103,1901818,35,3,9,1919000,single,Low,FF&E,car or other,critical/pending loans at other banks,male & rent,0
104,1114473,26,4,12,2445000,married/widowed,Low,used vehicle,car or other,existing loans paid back duly till now,male & rent,0
105,1514853,39,3,24,11938000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & own,1
106,1645589,39,4,18,6458000,single,Low,new vehicle,car or other,all loans at this bank paid back duly,male & own,1
107,1504772,32,2,12,6078000,single,Low,new vehicle,car or other,existing loans paid back duly till now,male & own,0
108,1698579,30,2,24,7721000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,0
109,1754975,35,2,14,1410000,married/widowed,High,business,real estate,existing loans paid back duly till now,male & own,0
110,1222155,31,2,6,1449000,divorced/separated,Medium,business,car or other,delay in paying off loans in the past,male & own,0
111,1719636,23,4,15,392000,divorced/separated/married,Low,education,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,0
112,1323966,28,3,18,6260000,single,Low,new vehicle,real estate,existing loans paid back duly till now,male & rent,0
113,1683052,25,2,36,7855000,divorced/separated/married,Low,new vehicle,real estate,critical/pending loans at other banks,female & own,1
114,1405004,35,1,12,1680000,married/widowed,High,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
115,1848791,47,1,48,3578000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
116,1229152,30,3,42,7174000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,1
117,1206049,27,3,10,2132000,divorced/separated/married,Low,FF&E,real estate,critical/pending loans at other banks,female & rent,0
118,1651983,23,4,33,4281000,divorced/separated/married,High,FF&E,car or other,critical/pending loans at other banks,female & own,1
119,1357789,36,3,12,2366000,divorced/separated,High,new vehicle,car or other,critical/pending loans at other banks,male & own,0
120,1506336,25,2,21,1835000,divorced/separated/married,Low,electronic equipment,real estate,existing loans paid back duly till now,female & own,1
121,1171493,41,2,24,3868000,divorced/separated/married,Low,used vehicle,car or other,critical/pending loans at other banks,female & rent,0
122,1278346,24,2,12,1768000,single,Low,FF&E,real estate,existing loans paid back duly till now,male & rent,0
123,1852036,63,4,10,781000,single,Low,new vehicle,car or other,critical/pending loans at other banks,male & for free,0
124,1717438,27,3,18,1924000,divorced/separated/married,Low,FF&E,real estate,existing loans paid back duly till now,female & rent,1
125,1168894,30,2,12,2121000,single,Low,new vehicle,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
126,1169906,40,2,12,701000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
127,1693022,30,2,12,639000,single,Low,repair costs,car or other,existing loans paid back duly till now,male & own,1
128,1125378,34,2,12,1860000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & own,0
129,1355140,29,2,12,3499000,divorced/separated/married,Low,new vehicle,real estate,critical/pending loans at other banks,female & own,1
130,1156488,24,2,48,8487000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & own,0
131,1817517,29,3,36,6887000,single,Low,education,building society savings agreement/life insurance,delay in paying off loans in the past,male & own,1
132,1183266,27,3,15,2708000,single,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
133,1834069,47,4,18,1984000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & for free,0
134,1501095,21,4,60,10144000,divorced/separated/married,Medium,electronic equipment,real estate,existing loans paid back duly till now,female & own,0
135,1577050,38,2,12,1240000,divorced/separated/married,Low,electronic equipment,real estate,critical/pending loans at other banks,female & own,0
136,1601894,27,2,27,8613000,single,Very high,used vehicle,car or other,delay in paying off loans in the past,male & own,0
137,1376069,66,3,12,766000,single,High,electronic equipment,real estate,existing loans paid back duly till now,male & own,1
138,1450465,35,2,15,2728000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
139,1565903,44,2,12,1881000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & rent,0
140,1124574,27,2,6,709000,married/widowed,Very high,new vehicle,real estate,existing loans paid back duly till now,male & own,0
141,1432828,30,1,36,4795000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,0
142,1682758,27,2,27,3416000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
143,1902944,22,2,18,2462000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & own,1
144,1774498,23,4,21,2288000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,critical/pending loans at other banks,female & own,0
145,1411456,30,2,48,3566000,single,Medium,business,car or other,all loans at this bank paid back duly,male & own,0
146,1387053,39,4,6,860000,divorced/separated/married,Low,new vehicle,car or other,critical/pending loans at other banks,female & own,0
147,1563602,51,3,12,682000,divorced/separated/married,Medium,new vehicle,car or other,critical/pending loans at other banks,female & own,0
148,1901178,28,2,36,5371000,single,Low,FF&E,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
149,1841686,46,4,18,1582000,single,Very high,electronic equipment,car or other,critical/pending loans at other banks,male & own,0
150,1403203,42,4,6,1346000,single,Medium,electronic equipment,car or other,existing loans paid back duly till now,male & for free,0
151,1448565,38,4,10,1924000,single,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
152,1538125,24,1,36,5848000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
153,1115975,29,4,24,7758000,divorced/separated/married,Very high,used vehicle,car or other,critical/pending loans at other banks,female & rent,0
154,1230615,36,4,24,6967000,single,Medium,business,car or other,delay in paying off loans in the past,male & rent,0
155,1841503,20,4,12,1282000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & rent,1
156,1321123,48,4,9,1288000,single,Medium,repair costs,real estate,critical/pending loans at other banks,male & own,0
157,1691733,45,1,12,339000,married/widowed,Low,career development,car or other,all loans at this bank paid back duly,male & own,0
158,1680095,38,3,24,3512000,single,Medium,new vehicle,car or other,existing loans paid back duly till now,male & own,0
159,1660328,34,2,6,1898000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
160,1187072,36,4,24,2872000,single,Medium,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
161,1460273,30,1,18,1055000,divorced/separated/married,Low,new vehicle,building society savings agreement/life insurance,critical/pending loans at other banks,female & own,0
162,1138817,36,3,15,1262000,single,High,domestic appliances,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
163,1628583,70,4,10,7308000,single,Low,new vehicle,car or other,existing loans paid back duly till now,male & for free,0
164,1734823,36,4,36,909000,single,High,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
165,1280180,32,2,6,2978000,single,High,FF&E,car or other,existing loans paid back duly till now,male & own,0
166,1279502,33,2,18,1131000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & own,1
167,1699886,20,1,11,1577000,divorced/separated/married,Very high,FF&E,real estate,existing loans paid back duly till now,female & own,0
168,1183811,25,4,24,3972000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,0
169,1775311,31,4,24,1935000,divorced/separated,Low,business,real estate,critical/pending loans at other banks,male & own,1
170,1770037,33,3,15,950000,single,Low,new vehicle,car or other,no loans taken/all loans paid back duly,male & rent,1
171,1420832,26,1,12,763000,divorced/separated/married,Low,FF&E,real estate,existing loans paid back duly till now,female & own,0
172,1388983,34,2,24,2064000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,delay in paying off loans in the past,female & own,1
173,1827797,33,2,8,1414000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
174,1758397,26,1,21,3414000,single,Low,education,building society savings agreement/life insurance,delay in paying off loans in the past,male & own,1
175,1126090,53,1,30,7485000,divorced/separated/married,Low,used vehicle,real estate,all loans at this bank paid back duly,female & own,1
176,1653715,42,1,12,2577000,divorced/separated,Low,FF&E,car or other,existing loans paid back duly till now,male & own,0
177,1534783,52,4,6,338000,single,High,electronic equipment,car or other,critical/pending loans at other banks,male & own,0
178,1705627,31,2,12,1963000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & rent,0
179,1156764,65,4,21,571000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & own,0
180,1351247,28,1,36,9572000,divorced/separated,Low,business,car or other,delay in paying off loans in the past,male & own,1
181,1324848,30,2,36,4455000,divorced/separated,Low,business,real estate,delay in paying off loans in the past,male & own,1
182,1706494,40,2,21,1647000,single,Low,new vehicle,building society savings agreement/life insurance,all loans at this bank paid back duly,male & own,1
183,1325093,50,4,24,3777000,single,Very high,FF&E,real estate,critical/pending loans at other banks,male & own,0
184,1168078,36,4,18,884000,single,Low,new vehicle,car or other,critical/pending loans at other banks,male & own,1
185,1625627,31,2,15,1360000,single,Low,electronic equipment,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
186,1645519,74,4,9,5129000,divorced/separated/married,Low,used vehicle,car or other,all loans at this bank paid back duly,female & for free,1
187,1308726,68,3,16,1175000,single,Low,new vehicle,car or other,critical/pending loans at other banks,male & for free,0
188,1460398,20,1,12,674000,married/widowed,Medium,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,1
189,1802699,33,4,18,3244000,divorced/separated/married,Low,FF&E,car or other,no loans taken/all loans paid back duly,female & own,0
190,1693215,54,3,24,4591000,single,Very high,business,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,1
191,1493175,34,4,48,3844000,single,Medium,business,car or other,no loans taken/all loans paid back duly,male & for free,1
192,1387043,36,2,27,3915000,single,Low,business,car or other,existing loans paid back duly till now,male & own,1
193,1603493,29,2,6,2108000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & rent,0
194,1807486,21,4,45,3031000,single,Medium,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & rent,1
195,1543290,34,3,9,1501000,divorced/separated/married,Low,education,car or other,critical/pending loans at other banks,female & own,1
196,1468750,28,1,6,1382000,divorced/separated/married,Low,electronic equipment,car or other,critical/pending loans at other banks,female & own,0
197,1849580,27,4,12,951000,divorced/separated/married,Medium,FF&E,car or other,existing loans paid back duly till now,female & rent,1
198,1855241,36,4,24,2760000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & for free,0
199,1709944,40,3,18,4297000,divorced/separated,Low,FF&E,car or other,delay in paying off loans in the past,male & own,1
200,1781381,52,2,9,936000,single,High,education,car or other,critical/pending loans at other banks,male & own,0
201,1505411,27,3,12,1168000,married/widowed,Low,new vehicle,real estate,existing loans paid back duly till now,male & own,0
202,1662647,26,4,27,5117000,single,Low,business,car or other,delay in paying off loans in the past,male & own,0
203,1277108,21,4,12,902000,married/widowed,Low,career development,building society savings agreement/life insurance,existing loans paid back duly till now,male & rent,1
204,1632379,38,1,12,1495000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & own,0
205,1232889,38,4,30,10623000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & for free,0
206,1729265,43,4,12,1935000,single,Low,FF&E,real estate,critical/pending loans at other banks,male & own,0
207,1266769,26,3,12,1424000,single,Low,domestic appliances,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
208,1457378,21,2,24,6568000,married/widowed,Low,business,car or other,existing loans paid back duly till now,male & own,0
209,1241829,55,2,12,1413000,single,Very high,used vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
210,1586696,33,2,9,3074000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
211,1878718,45,4,36,3835000,divorced/separated/married,Low,electronic equipment,real estate,existing loans paid back duly till now,female & own,0
212,1613024,50,4,27,5293000,single,Low,business,building society savings agreement/life insurance,no loans taken/all loans paid back duly,male & own,1
213,1781216,66,4,30,1908000,single,Low,business,real estate,delay in paying off loans in the past,male & own,1
214,1529476,51,2,36,3342000,single,Low,electronic equipment,car or other,critical/pending loans at other banks,male & own,0
215,1680133,39,3,6,932000,divorced/separated/married,Low,career development,building society savings agreement/life insurance,critical/pending loans at other banks,female & own,0
216,1671701,31,1,18,3104000,single,Low,business,building society savings agreement/life insurance,no loans taken/all loans paid back duly,male & own,0
217,1698484,23,2,36,3913000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
218,1482932,24,2,24,3021000,divorced/separated,Low,FF&E,real estate,existing loans paid back duly till now,male & rent,0
219,1332984,64,4,10,1364000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & own,0
220,1280672,26,1,12,625000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
221,1622064,23,4,12,1200000,divorced/separated/married,Low,education,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,0
222,1593121,30,2,12,707000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
223,1128002,32,4,24,2978000,single,Low,business,real estate,delay in paying off loans in the past,male & own,0
224,1761229,30,2,15,4657000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & own,0
225,1564360,27,2,36,2613000,single,Low,repair costs,car or other,no loans taken/all loans paid back duly,male & own,0
226,1749949,27,2,48,10961000,single,Very high,electronic equipment,car or other,existing loans paid back duly till now,male & own,1
227,1468094,53,4,12,7865000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & for free,1
228,1857654,22,2,9,1478000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,1
229,1785759,22,1,24,3149000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & for free,0
230,1596358,26,2,36,4210000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,1
231,1515190,51,4,9,2507000,single,High,new vehicle,car or other,existing loans paid back duly till now,male & for free,0
232,1720597,35,1,12,2141000,single,Medium,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
233,1487170,25,2,18,866000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
234,1570458,42,1,4,1544000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
235,1216325,30,2,24,1823000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,1
236,1810247,23,2,6,14555000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,1
237,1303121,61,2,21,2767000,divorced/separated,Medium,business,car or other,existing loans paid back duly till now,male & rent,1
238,1755306,35,2,12,1291000,divorced/separated/married,Low,electronic equipment,building society savings agreement/life insurance,critical/pending loans at other banks,female & own,0
239,1429938,39,3,30,2522000,single,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
240,1255291,29,2,24,915000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & own,1
241,1766084,51,2,6,1595000,single,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
242,1598979,24,4,48,4605000,single,Low,used vehicle,car or other,no loans taken/all loans paid back duly,male & for free,1
243,1700009,27,2,12,1185000,divorced/separated/married,Low,business,real estate,critical/pending loans at other banks,female & own,0
244,1591456,35,3,12,3447000,divorced/separated/married,High,career development,real estate,all loans at this bank paid back duly,female & own,0
245,1444099,25,1,24,1258000,single,Low,business,real estate,existing loans paid back duly till now,male & own,0
246,1627604,52,4,12,717000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
247,1533746,35,1,6,1204000,single,Medium,new vehicle,car or other,no loans taken/all loans paid back duly,male & rent,0
248,1659113,26,2,24,1925000,single,Low,FF&E,real estate,existing loans paid back duly till now,male & own,0
249,1276035,22,4,18,433000,divorced/separated/married,Low,electronic equipment,real estate,existing loans paid back duly till now,female & rent,1
250,1812017,39,4,6,666000,divorced/separated/married,Very high,new vehicle,real estate,critical/pending loans at other banks,female & own,0
251,1540012,46,2,12,2251000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & own,0
252,1582743,24,2,30,2150000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & own,1
253,1891614,35,3,24,4151000,single,Medium,FF&E,building society savings agreement/life insurance,delay in paying off loans in the past,male & own,0
254,1685016,24,1,9,2030000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & own,0
255,1656238,27,1,60,7418000,single,Low,electronic equipment,real estate,delay in paying off loans in the past,male & own,0
256,1444375,35,2,24,2684000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
257,1148952,29,1,12,2149000,divorced/separated,Low,electronic equipment,car or other,all loans at this bank paid back duly,male & for free,1
258,1397248,23,4,15,3812000,divorced/separated/married,Medium,used vehicle,car or other,existing loans paid back duly till now,female & own,0
